ID,Category,Cookie / Data Key name,Domain
702,marketing,BCTracking,AWD
703,marketing,__adal_ca,AWD
704,marketing,__adal_cw,AWD
705,marketing,__adal_id,AWD
706,marketing,__adal_ses,AWD
707,site_analytics,Pastease.passive.activated,AWD
708,site_analytics,Pastease.passive.chance,AWD
709,site_analytics,AFFICHE_W,weborama.fr
710,marketing,matchadform,w55c.net
711,marketing,wfivefivec,w55c.net
712,marketing,UserID1,adfarm3.adition.com
713,marketing,arcki2,audrte.com
714,site_analytics,_sn_a,AWD
715,marketing,_sn_m,AWD
716,functional,_sn_n,AWD
